,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
252,12.846153846153847,11.923076923076923,11.7551270278543,3.4965884063330583,7.0,16.0,0.297452200903294
253,12.846153846153847,11.666666666666666,11.927150290786654,3.535728483834556,8.0,16.0,0.29644369339135385
254,12.846153846153847,11.410256410256409,12.016835016835017,3.527613782183014,8.0,17.0,0.2935559801928706
255,12.846153846153847,11.153846153846153,12.147842056932966,3.5832652004756094,8.0,17.0,0.2949713359526751
256,12.846153846153847,10.897435897435898,12.146413631262115,3.5779953113196803,8.0,17.0,0.2945721609636882
257,12.846153846153847,10.384615384615383,12.396184062850729,3.6269605879039566,8.0,17.0,0.29258686136916484
258,12.846153846153847,10.64102564102564,12.320783593510866,3.6240737376990775,8.0,17.0,0.2941431208651219
259,12.846153846153847,10.128205128205128,12.508825630037752,3.6513927160411916,8.0,17.0,0.29190531741628983
260,12.846153846153847,9.871794871794872,12.617590041832466,3.641252710480317,8.0,17.0,0.28858543496880756
261,12.846153846153847,9.615384615384615,12.676767676767676,3.681593015242818,8.0,17.0,0.2904204848677602
262,12.846153846153847,9.102564102564102,12.94684215896337,3.7242097508082836,8.0,18.0,0.2876539085810925
263,12.846153846153847,9.358974358974358,12.847770635649423,3.6935027319903493,8.0,18.0,0.28748199487168474
264,12.846153846153847,8.846153846153847,13.032547699214366,3.7083863198747244,8.0,18.0,0.28454807190909226
265,12.846153846153847,8.333333333333332,13.268441995714722,3.7251880117399985,9.0,18.0,0.28075549585573906
266,12.846153846153847,8.58974358974359,13.1729415365779,3.7280509452216983,9.0,18.0,0.28300823584996954
267,12.846153846153847,8.076923076923077,13.312008978675646,3.810931555513036,9.0,18.0,0.2862777182330423
268,12.846153846153847,7.82051282051282,13.447097234976022,3.778707009310396,9.0,18.0,0.2810054053511225
269,12.846153846153847,7.564102564102564,13.483930211202939,3.8032109768110085,9.0,18.0,0.2820550772096968
270,12.846153846153847,7.051282051282051,13.668911335578002,3.866518595952529,9.0,19.0,0.28286953518299557
271,12.846153846153847,7.3076923076923075,13.663911845730027,3.829028013343618,9.0,19.0,0.280229267912043
272,12.846153846153847,6.794871794871795,13.748495051525355,3.8704540139702925,9.0,19.0,0.2815183770634501
