,grid_type,number_lights,height,width,diffuser_height,mean,std,min,1,5,10,90,95,99,max
78,ogrid,4,10,15.0,0.66,2.3129272523211917,1.5160688171767007,0.0,0.0,0.0,1.0,4.0,5.0,7.0,11.0
79,ogrid,4,10,15.0,0.95,2.3427201305989183,1.547130637997757,0.0,0.0,0.0,1.0,4.0,5.0,7.0,10.0
80,ogrid,4,15,7.5,0.05,2.1364146515661666,1.4432294675045565,0.0,0.0,0.0,0.0,4.0,5.0,6.0,10.0
81,ogrid,4,15,7.5,0.33,2.242424242424242,1.5102276896968447,0.0,0.0,0.0,0.0,4.0,5.0,6.0,12.0
82,ogrid,4,15,7.5,0.66,2.332313029282726,1.5349101055441112,0.0,0.0,0.0,1.0,4.0,5.0,6.0,10.0
83,ogrid,4,15,7.5,0.95,2.399959187837976,1.5300333123537093,0.0,0.0,0.0,1.0,4.0,5.0,6.0,10.0
84,ogrid,4,15,10.0,0.05,1.9464340373431281,1.4058515268040643,0.0,0.0,0.0,0.0,4.0,4.0,6.0,8.0
85,ogrid,4,15,10.0,0.33,2.0032649729619427,1.4087159821562083,0.0,0.0,0.0,0.0,4.0,5.0,6.0,9.0
86,ogrid,4,15,10.0,0.66,2.097541067238037,1.4519038421438248,0.0,0.0,0.0,0.0,4.0,5.0,6.0,9.0
87,ogrid,4,15,10.0,0.95,2.1736557494133253,1.4757308854291216,0.0,0.0,0.0,0.0,4.0,5.0,6.0,10.0
88,ogrid,4,15,12.5,0.05,1.7230894806652381,1.3173384372134322,0.0,0.0,0.0,0.0,3.0,4.0,5.0,9.0
89,ogrid,4,15,12.5,0.33,1.8162432404856648,1.347796293624794,0.0,0.0,0.0,0.0,4.0,4.0,6.0,8.0
90,ogrid,4,15,12.5,0.66,1.8742985409652075,1.3556871107816395,0.0,0.0,0.0,0.0,4.0,4.0,6.0,10.0
91,ogrid,4,15,12.5,0.95,1.9401081522293644,1.3874774641172316,0.0,0.0,0.0,0.0,4.0,4.0,6.0,9.0
92,ogrid,4,15,15.0,0.05,1.5215794306703398,1.239657177778533,0.0,0.0,0.0,0.0,3.0,4.0,5.0,8.0
93,ogrid,4,15,15.0,0.33,1.581675339251097,1.2615700184414715,0.0,0.0,0.0,0.0,3.0,4.0,5.0,8.0
94,ogrid,4,15,15.0,0.66,1.6588103254769921,1.288148584471313,0.0,0.0,0.0,0.0,3.0,4.0,5.0,8.0
95,ogrid,4,15,15.0,0.95,1.723497602285481,1.3107468055524132,0.0,0.0,0.0,0.0,3.0,4.0,5.0,9.0
96,ogrid,16,1,7.5,0.05,105.13233343536373,49.535849276951446,5.0,17.0,30.0,42.0,177.0,202.0,233.0,285.0
97,ogrid,16,1,7.5,0.33,105.47903275176003,49.117625790261535,6.0,18.0,30.0,43.0,177.0,201.0,232.0,269.0
98,ogrid,16,1,7.5,0.66,105.87980818283849,48.79309047810132,7.0,19.0,32.0,44.0,177.0,202.0,232.0,266.0
99,ogrid,16,1,7.5,0.95,106.5359657177839,48.89092738475328,7.0,19.0,33.0,45.0,178.0,203.0,235.0,285.0
100,ogrid,16,1,10.0,0.05,73.70176512600754,41.81068011992799,19.0,28.0,35.0,39.0,138.0,171.0,209.0,255.0
101,ogrid,16,1,10.0,0.33,74.20548923579227,42.3819439744266,19.0,29.0,35.0,39.0,139.0,173.0,214.0,264.0
102,ogrid,16,1,10.0,0.66,74.78910315273951,42.38653576386604,22.0,31.0,36.0,40.0,140.0,172.0,216.0,259.0
103,ogrid,16,1,10.0,0.95,75.31843689419448,42.9337599083601,21.0,31.0,36.0,40.0,141.0,175.0,218.0,285.0
104,ogrid,16,1,12.5,0.05,46.31272319151107,37.876566269420486,6.0,15.0,18.0,20.0,98.0,137.0,194.0,237.0
105,ogrid,16,1,12.5,0.33,46.63626160595857,37.848996058886016,8.0,15.0,19.0,21.0,98.0,137.0,194.0,242.0
106,ogrid,16,1,12.5,0.66,47.04938271604938,37.67355593152043,8.0,16.0,19.0,21.0,99.0,136.0,193.0,234.0
107,ogrid,16,1,12.5,0.95,47.41669217426793,37.66420597746752,8.0,16.0,19.0,22.0,100.0,137.0,192.0,245.0
108,ogrid,16,1,15.0,0.05,35.390980512192634,36.447377990454555,4.0,8.0,10.0,12.0,81.0,122.0,185.0,241.0
109,ogrid,16,1,15.0,0.33,35.642281399857154,36.59373864262715,3.0,8.0,11.0,12.0,81.0,122.0,185.0,253.0
110,ogrid,16,1,15.0,0.66,35.98306295275992,36.61485220709974,2.0,8.0,11.0,12.0,82.0,123.0,185.0,246.0
111,ogrid,16,1,15.0,0.95,36.325374961738596,36.89847334089844,2.0,8.0,11.0,13.0,82.0,123.0,188.0,263.0
112,ogrid,16,2,7.5,0.05,82.363024181206,24.0750458327735,12.0,26.0,40.0,48.0,112.0,118.0,127.0,150.0
113,ogrid,16,2,7.5,0.33,82.87572696663605,23.418948782337004,17.0,29.0,42.0,50.0,112.0,117.0,126.0,151.0
114,ogrid,16,2,7.5,0.66,83.53331292725233,23.02459475006408,14.0,30.0,43.0,51.0,112.0,118.0,128.0,151.0
115,ogrid,16,2,7.5,0.95,84.17069686766656,22.652688897081777,13.0,30.0,44.0,53.0,112.0,117.0,127.0,148.0
116,ogrid,16,2,10.0,0.05,62.0462197734925,11.126619399602314,27.0,37.0,44.0,48.0,76.0,81.0,89.0,109.0
117,ogrid,16,2,10.0,0.33,62.6426895214774,11.226820370591515,28.0,38.0,44.0,49.0,77.0,82.0,91.0,110.0
118,ogrid,16,2,10.0,0.66,63.214978063462915,11.12814140783466,29.0,39.0,46.0,49.0,78.0,82.0,91.0,109.0
119,ogrid,16,2,10.0,0.95,63.9942862973166,11.190376949644739,30.0,40.0,46.0,50.0,79.0,84.0,93.0,108.0
120,ogrid,16,2,12.5,0.05,43.47893072135496,10.440408629609532,16.0,25.0,29.0,31.0,58.0,63.0,73.0,90.0
121,ogrid,16,2,12.5,0.33,43.86950311192735,10.274440897169496,15.0,26.0,30.0,32.0,58.0,63.0,72.0,90.0
122,ogrid,16,2,12.5,0.66,44.465870829507196,10.399012386063227,18.0,26.0,30.0,33.0,59.0,65.0,74.0,87.0
123,ogrid,16,2,12.5,0.95,45.02163044587287,10.368505631195251,19.0,27.0,31.0,33.0,59.0,65.0,74.0,91.0
124,ogrid,16,2,15.0,0.05,32.63911845730028,11.124851751623916,10.0,15.0,19.0,21.0,49.0,55.0,65.0,90.0
125,ogrid,16,2,15.0,0.33,32.95449443934292,10.947704317596571,10.0,16.0,20.0,21.0,49.0,55.0,66.0,83.0
126,ogrid,16,2,15.0,0.66,33.40332619120498,10.976720092913935,11.0,16.0,20.0,22.0,49.0,56.0,66.0,84.0
127,ogrid,16,2,15.0,0.95,33.82114069992858,11.026673930533475,9.0,17.0,20.0,22.0,50.0,56.0,67.0,88.0
128,ogrid,16,3,7.5,0.05,66.07468625650444,18.243792608556756,17.0,27.0,36.0,42.0,90.0,95.0,104.0,119.0
129,ogrid,16,3,7.5,0.33,66.63432302826243,17.59839310351556,19.0,30.0,38.0,43.0,90.0,95.0,104.0,129.0
130,ogrid,16,3,7.5,0.66,67.30129578614427,17.168613128669236,20.0,30.0,40.0,45.0,90.0,95.0,104.0,120.0
131,ogrid,16,3,7.5,0.95,68.05397408427712,16.990993273919745,19.0,31.0,40.0,46.0,91.0,96.0,105.0,124.0
132,ogrid,16,3,10.0,0.05,52.07182940516274,9.301848114155543,22.0,31.0,37.0,40.0,64.0,68.0,74.0,85.0
133,ogrid,16,3,10.0,0.33,52.631976328946024,8.912443187413391,19.0,33.0,38.0,41.0,64.0,67.0,74.0,90.0
134,ogrid,16,3,10.0,0.66,53.30558106315682,8.659563526938202,21.0,34.0,39.0,42.0,64.0,68.0,74.0,86.0
135,ogrid,16,3,10.0,0.95,53.85491276400367,8.54135636113794,27.0,35.0,40.0,43.0,65.0,68.0,74.0,86.0
136,ogrid,16,3,12.5,0.05,38.89062340577492,6.840008075097597,16.0,24.0,28.0,30.0,48.0,51.0,56.0,65.0
137,ogrid,16,3,12.5,0.33,39.41669217426793,6.788045852022755,19.0,25.0,29.0,31.0,48.0,51.0,56.0,67.0
138,ogrid,16,3,12.5,0.66,40.07917559432711,6.715193448637761,16.0,25.0,29.0,32.0,49.0,51.0,56.0,65.0
139,ogrid,16,3,12.5,0.95,40.61810019385777,6.6401181592667875,18.0,26.0,30.0,32.0,49.0,52.0,57.0,68.0
140,ogrid,16,3,15.0,0.05,29.66411590654015,6.048407501077024,11.0,17.0,20.0,22.0,37.0,40.0,45.0,55.0
141,ogrid,16,3,15.0,0.33,30.101724313845526,6.117573850077456,12.0,17.0,21.0,23.0,38.0,41.0,46.0,56.0
142,ogrid,16,3,15.0,0.66,30.55208652178349,6.109179591496554,13.0,18.0,21.0,23.0,39.0,41.0,46.0,59.0
143,ogrid,16,3,15.0,0.95,31.106009590858076,6.190797400607756,11.0,18.0,22.0,23.0,39.0,42.0,47.0,59.0
144,ogrid,16,5,7.5,0.05,44.47270686664626,10.998218725310254,11.0,22.0,27.0,30.0,59.0,63.0,70.0,85.0
145,ogrid,16,5,7.5,0.33,45.023569023569024,10.569082027505894,15.0,23.0,28.0,32.0,59.0,63.0,71.0,83.0
146,ogrid,16,5,7.5,0.66,45.86736047342108,10.31148182089576,17.0,25.0,29.0,33.0,59.0,63.0,71.0,87.0
147,ogrid,16,5,7.5,0.95,46.437404346495256,9.98320111059104,18.0,25.0,31.0,34.0,60.0,64.0,70.0,85.0
148,ogrid,16,5,10.0,0.05,37.29813284358739,7.467542636255054,14.0,21.0,25.0,28.0,47.0,50.0,55.0,68.0
149,ogrid,16,5,10.0,0.33,37.78155290276502,7.203793006940879,13.0,22.0,26.0,29.0,47.0,50.0,55.0,68.0
150,ogrid,16,5,10.0,0.66,38.29354147535966,7.0116616984151605,16.0,23.0,27.0,30.0,48.0,50.0,55.0,69.0
151,ogrid,16,5,10.0,0.95,38.960412202836444,6.975715743574973,18.0,24.0,28.0,30.0,48.0,51.0,56.0,75.0
152,ogrid,16,5,12.5,0.05,29.988062442607898,5.8528150200908104,10.0,17.0,21.0,23.0,38.0,40.0,44.0,52.0
153,ogrid,16,5,12.5,0.33,30.5302520151005,5.827514963313292,10.0,18.0,21.0,23.0,38.0,40.0,45.0,56.0
154,ogrid,16,5,12.5,0.66,31.139373533312927,5.775107242487172,11.0,19.0,22.0,24.0,39.0,41.0,45.0,54.0
155,ogrid,16,5,12.5,0.95,31.73359861238649,5.716684724029279,13.0,19.0,23.0,24.0,39.0,41.0,46.0,57.0
156,ogrid,16,5,15.0,0.05,24.05213753698602,5.017959356381406,7.0,13.0,16.0,18.0,30.0,32.0,37.0,45.0
157,ogrid,16,5,15.0,0.33,24.617590041832464,5.079278917994341,9.0,14.0,17.0,18.0,31.0,33.0,37.0,49.0
158,ogrid,16,5,15.0,0.66,24.909805121926333,5.105541219153334,4.0,14.0,17.0,18.0,32.0,34.0,37.0,48.0
159,ogrid,16,5,15.0,0.95,25.460259157228855,5.165486806462095,10.0,14.0,17.0,19.0,32.0,34.0,38.0,50.0
160,ogrid,16,10,7.5,0.05,19.83154780124477,4.909661244458599,5.0,10.0,12.0,14.0,26.0,28.0,32.0,40.0
161,ogrid,16,10,7.5,0.33,20.33690439751046,4.817298075353386,5.0,10.0,13.0,14.0,27.0,29.0,33.0,44.0
162,ogrid,16,10,7.5,0.66,20.836241199877563,4.713592472533354,6.0,11.0,13.0,15.0,27.0,29.0,33.0,48.0
163,ogrid,16,10,7.5,0.95,21.361799816345272,4.749871067810617,7.0,11.0,14.0,15.0,28.0,30.0,33.0,41.0
164,ogrid,16,10,10.0,0.05,17.919089888786857,4.465295879020337,4.0,8.0,11.0,12.0,24.0,26.0,29.0,38.0
165,ogrid,16,10,10.0,0.33,18.431282522191612,4.400007058396265,5.0,9.0,12.0,13.0,24.0,26.0,29.0,38.0
166,ogrid,16,10,10.0,0.66,18.96112641567187,4.421684020716587,4.0,10.0,12.0,13.0,25.0,27.0,30.0,40.0
167,ogrid,16,10,10.0,0.95,19.349250076522804,4.374629775616805,6.0,10.0,13.0,14.0,25.0,27.0,30.0,38.0
168,ogrid,16,10,12.5,0.05,15.98408325681053,4.120042379399315,3.0,7.0,10.0,11.0,21.0,23.0,26.0,35.0
169,ogrid,16,10,12.5,0.33,16.395877971635546,4.162596646658989,4.0,8.0,10.0,11.0,22.0,24.0,27.0,33.0
