,grid_type,number_lights,height,width,mean,std,min,1,5,10,90,95,99,max
108,circle,81,5,7.5,278.0599938781757,73.9336137302949,109.0,133.0,162.0,183.0,382.0,400.0,426.0,454.0
109,circle,81,5,10.0,245.97908376696256,46.653363699439936,112.0,141.0,167.0,184.0,307.0,318.0,336.0,374.0
110,circle,81,5,12.5,210.21620242832364,27.940564089255453,118.0,142.0,161.0,173.0,245.0,253.0,267.0,301.0
111,circle,81,5,15.0,176.0810121416182,17.961429944535013,104.0,134.0,146.0,153.0,199.0,205.0,217.0,246.0
112,circle,81,10,7.5,119.38587899193959,17.782157993594037,61.0,81.0,91.0,96.0,143.0,149.0,160.0,189.0
113,circle,81,10,10.0,111.41301907968575,15.443827070673304,59.0,77.0,86.0,92.0,132.0,137.0,148.0,172.0
114,circle,81,10,12.5,102.45362718089991,13.23141015260422,59.0,73.0,81.0,85.0,120.0,125.0,134.0,154.0
115,circle,81,10,15.0,92.88144066931946,11.286522794099668,50.0,67.0,75.0,78.0,107.0,112.0,119.0,145.0
116,circle,81,15,7.5,62.57677787980818,8.905943663190882,31.0,43.0,48.0,51.0,74.0,78.0,84.0,96.0
117,circle,81,15,10.0,59.956330986634015,8.461459524345818,33.0,41.0,46.0,49.0,71.0,74.0,81.0,98.0
118,circle,81,15,12.5,57.135904499540864,8.077568638605158,28.0,39.0,44.0,47.0,68.0,71.0,77.0,87.0
119,circle,81,15,15.0,53.86603407815529,7.814847400188805,28.0,37.0,41.0,44.0,64.0,67.0,73.0,85.0
120,ogrid,4,1,7.5,20.45413733292521,34.95426433670122,0.0,0.0,1.0,1.0,61.0,100.0,175.0,225.0
121,ogrid,4,1,10.0,8.765942250790737,22.02766779083915,0.0,0.0,0.0,0.0,18.0,41.0,128.0,236.0
122,ogrid,4,1,12.5,2.0006121824303644,3.491619776712029,0.0,0.0,0.0,0.0,5.0,7.0,18.0,41.0
123,ogrid,4,1,15.0,0.7518620548923579,1.1471887766742828,0.0,0.0,0.0,0.0,2.0,3.0,5.0,11.0
124,ogrid,4,2,7.5,14.875420875420875,12.84759100858579,0.0,1.0,2.0,3.0,36.0,43.0,53.0,73.0
125,ogrid,4,2,10.0,8.031119273543515,9.556727396388455,0.0,0.0,1.0,1.0,20.0,30.0,48.0,67.0
126,ogrid,4,2,12.5,3.346699316396286,3.8832034489457325,0.0,0.0,0.0,0.0,8.0,11.0,20.0,36.0
127,ogrid,4,2,15.0,1.5272931333537394,1.7333447848397319,0.0,0.0,0.0,0.0,3.0,5.0,8.0,17.0
128,ogrid,4,3,7.5,11.70615243342516,6.395955440444362,0.0,2.0,3.0,4.0,21.0,24.0,29.0,36.0
129,ogrid,4,3,10.0,7.21763085399449,5.25342643190365,0.0,0.0,1.0,2.0,15.0,18.0,25.0,37.0
130,ogrid,4,3,12.5,3.883685338230793,3.2465501501312,0.0,0.0,0.0,1.0,8.0,10.0,16.0,26.0
131,ogrid,4,3,15.0,2.0994796449341906,1.903176326352814,0.0,0.0,0.0,0.0,4.0,6.0,9.0,18.0
132,ogrid,4,5,7.5,8.101214161820222,3.254714044117556,0.0,2.0,3.0,4.0,12.0,14.0,16.0,24.0
133,ogrid,4,5,10.0,5.7730843791449855,2.720255462745272,0.0,1.0,2.0,2.0,9.0,11.0,13.0,17.0
134,ogrid,4,5,12.5,3.8654218957249262,2.240409766741805,0.0,0.0,1.0,1.0,7.0,8.0,10.0,18.0
135,ogrid,4,5,15.0,2.526374859708193,1.7747170650644744,0.0,0.0,0.0,1.0,5.0,6.0,8.0,13.0
136,ogrid,4,10,7.5,3.856953372104887,2.003451990527408,0.0,0.0,1.0,1.0,6.0,7.0,9.0,14.0
137,ogrid,4,10,10.0,3.246811549841853,1.802852405023723,0.0,0.0,1.0,1.0,6.0,6.0,8.0,11.0
138,ogrid,4,10,12.5,2.6784001632486483,1.6655434634147477,0.0,0.0,0.0,1.0,5.0,6.0,7.0,11.0
139,ogrid,4,10,15.0,2.117130905009693,1.4644560559285584,0.0,0.0,0.0,0.0,4.0,5.0,6.0,10.0
140,ogrid,4,15,7.5,2.1227425772880317,1.4610314383834286,0.0,0.0,0.0,0.0,4.0,5.0,6.0,11.0
141,ogrid,4,15,10.0,1.9617385981022344,1.4054804029854122,0.0,0.0,0.0,0.0,4.0,4.0,6.0,10.0
142,ogrid,4,15,12.5,1.7341087644117947,1.3249309569233905,0.0,0.0,0.0,0.0,4.0,4.0,5.0,8.0
143,ogrid,4,15,15.0,1.4950515253545558,1.2236826569298516,0.0,0.0,0.0,0.0,3.0,4.0,5.0,7.0
