,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
7565,1.736842105263158,5.526315789473684,7.394736842105264,109.0704009794919,55.07969147842282,43.0,188.0,0.5049921058672853
7566,1.736842105263158,5.526315789473684,6.873684210526316,110.72635445362718,54.8700945976908,45.0,189.0,0.4955468358770062
7567,1.736842105263158,5.526315789473684,6.352631578947369,112.84256708499133,54.45223242307668,48.0,191.0,0.4825504579496501
7568,1.736842105263158,5.526315789473684,5.831578947368421,115.56024895418835,53.74245691857214,51.0,192.0,0.4650600652468074
7569,1.736842105263158,5.526315789473684,5.310526315789474,119.10774410774411,53.03166157203766,55.0,195.0,0.4452410879687685
7570,1.736842105263158,5.526315789473684,4.7894736842105265,123.65432098765432,51.78916906847807,61.0,198.0,0.4188221540082591
7571,1.736842105263158,5.526315789473684,4.268421052631579,127.2253851647791,50.835953481045365,66.0,200.0,0.3995739797934502
7572,1.736842105263158,5.526315789473684,3.747368421052632,127.25017855320885,50.95653409246364,66.0,200.0,0.40044371388568617
7573,1.736842105263158,5.526315789473684,3.2263157894736847,127.30598918477706,50.71223698825067,66.0,200.0,0.3983491846141259
7574,1.736842105263158,5.526315789473684,2.7052631578947373,127.30354045505561,50.620270557976475,66.0,200.0,0.39763442852438113
7575,1.736842105263158,5.526315789473684,2.18421052631579,127.20752984389348,50.83381468136574,66.0,200.0,0.39961325201226666
7576,1.736842105263158,5.526315789473684,1.6631578947368424,127.26395265789205,50.683837240888494,66.0,200.0,0.3982576069842463
7577,1.736842105263158,5.526315789473684,0.6210526315789474,127.20375471890624,50.55131023036057,66.0,199.0,0.39740423026087884
7578,1.736842105263158,5.526315789473684,1.142105263157895,127.2329354147536,50.72592229601308,66.0,200.0,0.3986854671760645
7579,1.736842105263158,5.526315789473684,0.1,127.30415263748597,50.8223751615194,66.0,200.0,0.3992200891218552
7580,1.736842105263158,5.0,10.0,106.41893684317927,65.58668219129041,34.0,207.0,0.6163064971034248
7581,1.736842105263158,5.0,9.478947368421053,107.17763493521069,65.18244644939175,35.0,207.0,0.6081720919555166
7582,1.736842105263158,5.0,8.436842105263159,109.23834302622181,65.07948977094959,37.0,209.0,0.595756837462536
7583,1.736842105263158,5.0,8.957894736842105,108.01989592898684,65.02147787047093,35.0,208.0,0.6019398307254117
7584,1.736842105263158,5.0,7.915789473684211,110.5016835016835,65.00136344329259,38.0,211.0,0.588238670972848
7585,1.736842105263158,5.0,7.394736842105264,112.11509029690848,64.48133596081591,41.0,211.0,0.5751352096319362
7586,1.736842105263158,5.0,6.873684210526316,114.1625344352617,64.31493278222585,43.0,214.0,0.5633628676901615
7587,1.736842105263158,5.0,6.352631578947369,116.77328843995511,63.77821471368935,46.0,215.0,0.5461712654130156
7588,1.736842105263158,5.0,5.831578947368421,120.05407611468218,62.90232680954831,50.0,216.0,0.5239499469344181
7589,1.736842105263158,5.0,5.310526315789474,124.39689827568615,61.91980989500605,56.0,220.0,0.49776007885486406
7590,1.736842105263158,5.0,4.7894736842105265,127.51086623813896,60.87596222260031,60.0,221.0,0.47741783911112734
7591,1.736842105263158,5.0,4.268421052631579,127.4964799510254,61.03329056961584,60.0,221.0,0.47870569127132184
7592,1.736842105263158,5.0,3.747368421052632,127.52025303540455,61.02484957008724,60.0,221.0,0.47855025470459495
7593,1.736842105263158,5.0,2.7052631578947373,127.52362003877155,61.025512119707834,60.0,221.0,0.4785428150577437
