,light_height,light_width,grid_type,inter_0,inter_1,inter_2,inter_3,metric
1318,3.2105263157894735,10.263157894736842,ogrid,48.65074992347719,8.66389678717544,38.0,60.0,0.17808351979780151
1319,3.2105263157894735,10.263157894736842,circle,48.715641261095804,8.563431744814967,38.0,60.0,0.1757840299980553
1320,3.2105263157894735,9.736842105263158,spiral,51.570145903479236,9.608699807876917,39.0,64.0,0.1863229129865358
1321,3.2105263157894735,9.736842105263158,ogrid,51.57157432915009,9.620288354646041,39.0,64.0,0.18654246025621737
1322,3.2105263157894735,9.736842105263158,grid,51.58116518722579,9.62427339666692,39.0,64.0,0.18658503276793748
1323,3.2105263157894735,9.736842105263158,circle,51.49556167737986,9.571878646519083,39.0,64.0,0.18587774042522318
1324,3.2105263157894735,9.210526315789473,spiral,54.447811447811446,10.862994433018278,40.0,68.0,0.19951204913774218
1325,3.2105263157894735,9.210526315789473,grid,54.504948474645445,10.80905315176344,40.0,68.0,0.19831324410464463
1326,3.2105263157894735,9.210526315789473,ogrid,54.382307927762476,10.912319444605888,40.0,68.0,0.20065936626119332
1327,3.2105263157894735,9.210526315789473,circle,54.36720742781349,10.944356674226325,40.0,69.0,0.20130437430978565
1328,3.2105263157894735,8.68421052631579,spiral,57.26354453627181,12.380230267060599,41.0,73.0,0.21619741438147838
1329,3.2105263157894735,8.68421052631579,grid,57.15120906029997,12.492266389091714,41.0,73.0,0.21858271407541324
1330,3.2105263157894735,8.68421052631579,ogrid,57.288848076726865,12.4174378635478,41.0,73.0,0.2167513971814749
1331,3.2105263157894735,8.68421052631579,circle,57.23691460055097,12.360656389310671,41.0,73.0,0.2159560220108665
1332,3.2105263157894735,8.157894736842106,spiral,59.85715743291501,14.400810057557658,41.0,79.0,0.24058626695892443
1333,3.2105263157894735,8.157894736842106,grid,59.91419242934394,14.383954842314123,41.0,79.0,0.24007591956241323
1334,3.2105263157894735,8.157894736842106,ogrid,59.84726048362412,14.466643776611422,41.0,79.0,0.2417260816904042
1335,3.2105263157894735,8.157894736842106,circle,59.847668605244365,14.369607537306283,41.0,78.0,0.24010304615353212
1336,3.2105263157894735,7.631578947368421,spiral,62.51627384960718,16.72816829667493,40.0,84.0,0.2675810195744742
1337,3.2105263157894735,7.631578947368421,grid,62.46260585654525,16.72707310013128,40.0,84.0,0.2677933920744119
1338,3.2105263157894735,7.631578947368421,ogrid,62.49811243750638,16.790608072519714,40.0,85.0,0.2686578428958013
1339,3.2105263157894735,7.631578947368421,circle,62.58177736965616,16.750157287318384,40.0,85.0,0.2676523101665691
1340,3.2105263157894735,7.105263157894736,spiral,64.99551066217732,19.732694363959947,39.0,91.0,0.303600882013578
1341,3.2105263157894735,7.105263157894736,grid,64.93704724007755,19.53002068099088,39.0,91.0,0.3007531372467061
1342,3.2105263157894735,7.105263157894736,ogrid,64.94694418936844,19.50263210472345,39.0,91.0,0.3002856000100457
1343,3.2105263157894735,7.105263157894736,circle,64.90358126721763,19.449981854310266,39.0,91.0,0.2996750175345767
1344,3.2105263157894735,6.578947368421053,spiral,67.32282420161208,22.779089268221707,38.0,98.0,0.33835611530504167
1345,3.2105263157894735,6.578947368421053,grid,67.25915722885419,22.746177862448427,38.0,98.0,0.33818707815581
1346,3.2105263157894735,6.578947368421053,ogrid,67.16702377308438,22.71679574917263,38.0,98.0,0.3382135231407388
1347,3.2105263157894735,6.578947368421053,circle,67.1106009590858,22.65378040892219,38.0,98.0,0.3375588965852525
1348,3.2105263157894735,6.052631578947368,spiral,69.3087440057137,26.239406480863547,36.0,106.0,0.37858724548089356
1349,3.2105263157894735,6.052631578947368,grid,69.32996632996633,26.17643371355026,36.0,106.0,0.3775630524464294
1350,3.2105263157894735,6.052631578947368,ogrid,69.36363636363636,26.232877479043875,36.0,106.0,0.37819351542527213
1351,3.2105263157894735,6.052631578947368,circle,69.21752882358943,26.06305725796744,36.0,105.0,0.37653839570598935
1352,3.2105263157894735,5.526315789473684,spiral,71.16467707376798,29.990639309619045,34.0,115.0,0.42142591722198514
1353,3.2105263157894735,5.526315789473684,grid,71.23089480665239,29.962259846444514,34.0,114.0,0.4206357357684953
1354,3.2105263157894735,5.526315789473684,ogrid,71.2282420161208,29.95346937808529,34.0,114.0,0.42052798904268957
1355,3.2105263157894735,5.526315789473684,circle,71.18294051627385,29.985598331544367,34.0,114.0,0.4212469745428549
1356,3.2105263157894735,5.0,spiral,72.88378736863585,33.93850803589587,32.0,124.0,0.46565236606379573
1357,3.2105263157894735,5.0,grid,72.942862973166,33.97167176529322,32.0,124.0,0.4657298929682897
1358,3.2105263157894735,5.0,ogrid,72.89837771655954,33.93328285561563,33.0,124.0,0.4654874898252691
1359,3.2105263157894735,5.0,circle,72.76645240281604,33.849104904282854,32.0,123.0,0.46517459332637334
1360,2.473684210526316,15.0,spiral,31.117436996224875,7.659455692521362,22.0,41.0,0.24614674060240235
1361,2.473684210526316,15.0,grid,31.06499336802367,7.572319753469723,22.0,41.0,0.24375732721913881
1362,2.473684210526316,15.0,ogrid,31.10203040506071,7.650499779913387,22.0,42.0,0.24598071830926352
1363,2.473684210526316,15.0,circle,31.1324354657688,7.639530226123377,22.0,42.0,0.2453881333673142
1364,2.473684210526316,14.473684210526315,spiral,32.88960310172431,7.576757850166236,24.0,43.0,0.2303693914071285
