,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
77,15.0,13.421052631578947,1.142105263157895,44.72380369350066,6.7351800571957465,36.0,53.0,0.15059497406242559
78,15.0,13.421052631578947,0.6210526315789474,44.73665952453831,6.710244154871055,36.0,53.0,0.14999430503277628
79,15.0,13.421052631578947,0.1,44.73676155494337,6.813180693426893,36.0,54.0,0.15229490147737443
80,15.0,12.894736842105264,10.0,45.8161412100806,6.791760903314814,37.0,55.0,0.14823947901183068
81,15.0,12.894736842105264,9.478947368421053,45.68982756861545,6.876518676786366,37.0,55.0,0.15050436919376511
82,15.0,12.894736842105264,8.957894736842105,45.65421895724926,6.7130856262418055,37.0,54.0,0.14704195536732229
83,15.0,12.894736842105264,8.436842105263159,45.7751249872462,6.7533420890464,37.0,55.0,0.14753301254618106
84,15.0,12.894736842105264,6.873684210526316,45.746046321803895,6.758088408140925,37.0,55.0,0.1477305461678734
85,15.0,12.894736842105264,7.394736842105264,45.75726966636058,6.792082817120248,37.0,55.0,0.14843723995432337
86,15.0,12.894736842105264,6.352631578947369,45.73472094684216,6.826132845895414,37.0,55.0,0.14925493595619582
87,15.0,12.894736842105264,5.831578947368421,45.62891541679421,6.75969199828894,37.0,54.0,0.14814491943415695
88,15.0,12.894736842105264,5.310526315789474,45.60585654525048,6.769669718876503,37.0,54.0,0.14843860485680352
89,15.0,12.894736842105264,4.7894736842105265,45.71666156514642,6.721295682235464,37.0,54.0,0.14702070212755128
90,15.0,12.894736842105264,4.268421052631579,45.70390776451382,6.84971190947426,37.0,54.0,0.1498714714891978
91,15.0,12.894736842105264,3.747368421052632,45.79349046015712,6.867364880886982,37.0,55.0,0.14996377895373514
